ABE,ABE V149 MAZIE ARD CYN ACY,ACY,,,,TEC,,5000,,,1,ZNY,ZDC
ABE,ABE FJC V149 LHY ALB,ALB,,,,TEC,,8000,,,1,ZNY,ZBW
ABE,ABE ETX LHY ALB,ALB,,,,TEC,,8000,,,2,ZNY,ZBW
ABE,ABE V93 LVZ AVP,AVP,,,,TEC,,7000,,,1,ZNY,ZNY
ABE,ABE FJC V149 RITTY AVP,AVP,,,,TEC,,7000,,,2,ZNY,ZNY
ABE,ABE FJC V162 HUO BDL,BDL,,,,TEC,(AND SATS),4000(ONLY),,,1,ZNY,ZBW
ABE,ABE V93 LRP BWI,BWI,,,,TEC,,8000,,,1,ZNY,ZDC
ABE,ABE ETX V162 DUMMR V93 LRP BWI,BWI,,,,TEC,,6000,,,2,ZNY,ZDC
ABE,ABE V39 LRP BWI,BWI,,,,TEC,,8000,,,3,ZNY,ZDC
ABE,ABE FJC STW CDW,CDW,,,,TEC,,5000,,,1,ZNY,ZNY
ABE,ABE FJC V162 HUO CEF,CEF,,,,TEC,AND SATS,4000(ONLY),,,1,ZNY,ZBW
ABE,ABE ETX SEG PSB PSB281 MAULL SLT249 KODIE CTW081 CTW CINCE6 CVG,CVG,,,,H,,,ALL OTHERS,,1,ZNY,ZID
ABE,ABE ETX SEG PSB MAULL KODIE CTW TIGRR1 CVG,CVG,,,,H,,,RNAV ONLY,,2,ZNY,ZID
ABE,ABE ETX J80 J518 DJB GEMNI2 DTW,DTW,,,,H,,,,,1,ZNY,ZOB
ABE,ABE FJC V162 HUO EHT,EHT,,,,TEC,,4000(ONLY),,,1,ZNY,
ABE,ABE ETX BWZ EWR,EWR,,,,TEC,PROPS LESS THAN 210 KTS.,5000,,,1,ZNY,ZNY
ABE,ABE FJC BWZ EWR,EWR,,,,TEC,JETS AND PROPS GTR THAN 210 KT IAS,6000,,,3,ZNY,ZNY
ABE,ABE ETX V30 SBJ FRG,FRG,,,,TEC,PROPS LESS THAN 210 KT IAS,5000,,,1,ZNY,ZNY
ABE,ABE FJC V162 HUO HFD,HFD,,,,TEC,,4000(ONLY),,,1,ZNY,ZBW
